[INFO] 2026-03-31 23:50:33 | Logger initialised. Log file: logs/backfill_20260331_235033.log
[INFO] 2026-03-31 23:50:33 | ============================================================
[INFO] 2026-03-31 23:50:33 | STARTING BACKFILL PIPELINE
[INFO] 2026-03-31 23:50:33 | Seasons: 2015 - 2024
[INFO] 2026-03-31 23:50:33 | ============================================================
[INFO] 2026-03-31 23:50:33 | START: ingest_schedules
[INFO] 2026-03-31 23:50:33 | schedules: Refreshing seasons 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024
[INFO] 2026-03-31 23:50:33 | START: ingest schedules season=2015
[INFO] 2026-03-31 23:50:35 | Wrote 267 rows across 1 partitions -> data/raw/schedules
[INFO] 2026-03-31 23:50:35 | DONE:  ingest schedules season=2015 (1.8s)
[INFO] 2026-03-31 23:50:35 | START: ingest schedules season=2016
[INFO] 2026-03-31 23:50:36 | Wrote 267 rows across 1 partitions -> data/raw/schedules
[INFO] 2026-03-31 23:50:36 | DONE:  ingest schedules season=2016 (1s)
[INFO] 2026-03-31 23:50:36 | START: ingest schedules season=2017
[INFO] 2026-03-31 23:50:36 | Wrote 267 rows across 1 partitions -> data/raw/schedules
[INFO] 2026-03-31 23:50:36 | DONE:  ingest schedules season=2017 (0.1s)
[INFO] 2026-03-31 23:50:36 | START: ingest schedules season=2018
[INFO] 2026-03-31 23:50:36 | Wrote 267 rows across 1 partitions -> data/raw/schedules
[INFO] 2026-03-31 23:50:36 | DONE:  ingest schedules season=2018 (0.1s)
[INFO] 2026-03-31 23:50:36 | START: ingest schedules season=2019
[INFO] 2026-03-31 23:50:36 | Wrote 267 rows across 1 partitions -> data/raw/schedules
[INFO] 2026-03-31 23:50:36 | DONE:  ingest schedules season=2019 (0.1s)
[INFO] 2026-03-31 23:50:36 | START: ingest schedules season=2020
[INFO] 2026-03-31 23:50:37 | Wrote 269 rows across 1 partitions -> data/raw/schedules
[INFO] 2026-03-31 23:50:37 | DONE:  ingest schedules season=2020 (1s)
[INFO] 2026-03-31 23:50:37 | START: ingest schedules season=2021
[INFO] 2026-03-31 23:50:37 | Wrote 285 rows across 1 partitions -> data/raw/schedules
[INFO] 2026-03-31 23:50:37 | DONE:  ingest schedules season=2021 (0.1s)
[INFO] 2026-03-31 23:50:37 | START: ingest schedules season=2022
[INFO] 2026-03-31 23:50:37 | Wrote 284 rows across 1 partitions -> data/raw/schedules
[INFO] 2026-03-31 23:50:37 | DONE:  ingest schedules season=2022 (0.1s)
[INFO] 2026-03-31 23:50:37 | START: ingest schedules season=2023
[INFO] 2026-03-31 23:50:39 | Wrote 285 rows across 1 partitions -> data/raw/schedules
[INFO] 2026-03-31 23:50:39 | DONE:  ingest schedules season=2023 (1.9s)
[INFO] 2026-03-31 23:50:39 | START: ingest schedules season=2024
[INFO] 2026-03-31 23:50:40 | Wrote 285 rows across 1 partitions -> data/raw/schedules
[INFO] 2026-03-31 23:50:40 | DONE:  ingest schedules season=2024 (0.1s)
[INFO] 2026-03-31 23:50:40 | DONE:  ingest_schedules (7.5s)
[INFO] 2026-03-31 23:50:40 | START: ingest_pbp
[INFO] 2026-03-31 23:50:40 | PBP: Loading seasons 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024
[INFO] 2026-03-31 23:50:40 | START: ingest_pbp season=2015
[INFO] 2026-03-31 23:51:38 | Wrote 48122 rows across 1 partitions -> data/raw/pbp
[INFO] 2026-03-31 23:51:38 | DONE:  ingest_pbp season=2015 (57.4s)
[INFO] 2026-03-31 23:51:38 | START: ingest_pbp season=2016
[INFO] 2026-03-31 23:52:19 | Wrote 47651 rows across 1 partitions -> data/raw/pbp
[INFO] 2026-03-31 23:52:19 | DONE:  ingest_pbp season=2016 (41.1s)
[INFO] 2026-03-31 23:52:19 | START: ingest_pbp season=2017
[INFO] 2026-03-31 23:52:56 | Wrote 47245 rows across 1 partitions -> data/raw/pbp
[INFO] 2026-03-31 23:52:56 | DONE:  ingest_pbp season=2017 (37.7s)
[INFO] 2026-03-31 23:52:56 | START: ingest_pbp season=2018
[INFO] 2026-03-31 23:53:36 | Wrote 47109 rows across 1 partitions -> data/raw/pbp
[INFO] 2026-03-31 23:53:36 | DONE:  ingest_pbp season=2018 (39.7s)
[INFO] 2026-03-31 23:53:36 | START: ingest_pbp season=2019
[INFO] 2026-03-31 23:54:19 | Wrote 47260 rows across 1 partitions -> data/raw/pbp
[INFO] 2026-03-31 23:54:19 | DONE:  ingest_pbp season=2019 (42.9s)
[INFO] 2026-03-31 23:54:19 | START: ingest_pbp season=2020
[INFO] 2026-03-31 23:54:59 | Wrote 47705 rows across 1 partitions -> data/raw/pbp
[INFO] 2026-03-31 23:54:59 | DONE:  ingest_pbp season=2020 (40.1s)
[INFO] 2026-03-31 23:54:59 | START: ingest_pbp season=2021
[INFO] 2026-03-31 23:55:49 | Wrote 49922 rows across 1 partitions -> data/raw/pbp
[INFO] 2026-03-31 23:55:49 | DONE:  ingest_pbp season=2021 (50.2s)
[INFO] 2026-03-31 23:55:49 | START: ingest_pbp season=2022
[INFO] 2026-03-31 23:56:40 | Wrote 49434 rows across 1 partitions -> data/raw/pbp
[INFO] 2026-03-31 23:56:41 | DONE:  ingest_pbp season=2022 (51.8s)
[INFO] 2026-03-31 23:56:41 | START: ingest_pbp season=2023
[INFO] 2026-03-31 23:57:22 | Wrote 49665 rows across 1 partitions -> data/raw/pbp
[INFO] 2026-03-31 23:57:23 | DONE:  ingest_pbp season=2023 (42.3s)
[INFO] 2026-03-31 23:57:23 | START: ingest_pbp season=2024
[INFO] 2026-03-31 23:58:09 | Wrote 49492 rows across 1 partitions -> data/raw/pbp
[INFO] 2026-03-31 23:58:10 | DONE:  ingest_pbp season=2024 (46.7s)
[INFO] 2026-03-31 23:58:10 | DONE:  ingest_pbp (449.9s)
[INFO] 2026-03-31 23:58:10 | START: ingest_player_stats
